0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.select.js HTTP/1.1" 200 29789
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.relational.single.js HTTP/1.1" 200 35513
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.relational.multiple.js HTTP/1.1" 200 40914
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.relational.nested.js HTTP/1.1" 200 10817
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.mail.js HTTP/1.1" 200 36751
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.code.js HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.json.js HTTP/1.1" 200 12675
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.tree.js HTTP/1.1" 200 19033
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.form.js HTTP/1.1" 200 45728
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.grid.js HTTP/1.1" 200 34427
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.base.js HTTP/1.1" 200 26945
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.html.js HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.search.js HTTP/1.1" 200 20207
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.portal.js HTTP/1.1" 200 10050
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.popup.js HTTP/1.1" 200 15822
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.chart.js HTTP/1.1" 200 27223
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.gantt.js HTTP/1.1" 200 25189
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.calendar.js HTTP/1.1" 200 19688
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.dashboard.js HTTP/1.1" 200 10228
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.kanban.js HTTP/1.1" 200 24974
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.dms.js HTTP/1.1" 200 48889
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/img/axelor.png HTTP/1.1" 200 34203
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/view/view.custom.js HTTP/1.1" 200 7624
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/partials/error-window.html HTTP/1.1" 200 794
